Escenario;Config;Coste_Medio;Tiempo_Medio;Gap_Medio;N_Optimos;N_GapAlto;Total_Iteraciones;%_Exito
run_200p_10c;Limite_20s;18681.98;12.72;0.06;13;0;28;46.43
run_200p_10c;Limite_300s;18458.88;77.97;0.01;24;0;29;82.76
run_200p_10c;Limite_60s;18473.53;25.44;0.01;22;0;29;75.86
run_400p_10c;Limite_20s;51552.45;18.63;0.03;6;0;30;20.0
run_400p_10c;Limite_300s;51521.52;76.09;0.0;27;0;30;90.0
run_400p_10c;Limite_60s;51521.8;41.03;0.01;21;0;30;70.0
run_400p_20c;Limite_20s;48204.58;19.87;0.35;0;0;30;0.0
run_400p_20c;Limite_300s;36990.95;204.66;0.03;15;0;30;50.0
run_400p_20c;Limite_60s;37551.63;55.19;0.08;5;0;30;16.67
run_400p_25c;Limite_20s;49554.64;19.87;0.66;0;0;30;0.0
run_400p_25c;Limite_300s;29785.18;287.94;0.1;5;0;30;16.67
run_400p_25c;Limite_60s;35377.35;59.48;0.26;0;0;30;0.0
run_400p_30c;Limite_20s;53340.52;19.53;0.9;0;2;30;0.0
run_400p_30c;Limite_300s;21477.65;299.41;0.24;0;0;30;0.0
run_400p_30c;Limite_60s;48249.13;59.79;0.67;0;0;30;0.0
run_400p_40c;Limite_20s;-13831.1;18.65;1.01;0;30;30;0.0
run_400p_40c;Limite_300s;6921.54;298.23;1.3;0;16;30;0.0
run_400p_40c;Limite_60s;12750.92;63.16;1.12;0;29;30;0.0
