Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_200p_ADRB_iter01.dat;1200;75;Limite_300s;aborted/maxTimeLimit;11104,50217462216;0,01737;300,04
bateria_pruebas\run_200p_ADRB_iter02.dat;1200;75;Limite_300s;aborted/maxTimeLimit;9757,5;0,026514;300,04
bateria_pruebas\run_200p_ADRB_iter03.dat;1200;75;Limite_300s;aborted/maxTimeLimit;6939,0;0,062304;300,08
bateria_pruebas\run_200p_ADRB_iter04.dat;1200;75;Limite_300s;ok/optimal;12119,0;0,0;12,33
bateria_pruebas\run_200p_ADRB_iter05.dat;1200;75;Limite_300s;ok/optimal;10651,0;0,0;139,02
bateria_pruebas\run_200p_ADRB_iter06.dat;1200;75;Limite_300s;ok/optimal;12255,5;0,0;10,95
bateria_pruebas\run_200p_ADRB_iter07.dat;1200;75;Limite_300s;ok/optimal;7247,5;0,0;5,92
bateria_pruebas\run_200p_ADRB_iter08.dat;1200;75;Limite_300s;aborted/maxTimeLimit;11132,5;0,098975;300,01
bateria_pruebas\run_200p_ADRB_iter09.dat;1200;75;Limite_300s;aborted/maxTimeLimit;12118,00217462216;0,016227;300,01
bateria_pruebas\run_200p_ADRB_iter10.dat;1200;75;Limite_300s;ok/optimal;8602,5;0,0;14,33
bateria_pruebas\run_200p_ADRB_iter11.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10911,5;0,09726;300,02
bateria_pruebas\run_200p_ADRB_iter12.dat;1200;75;Limite_300s;ok/optimal;9566,0;0,0;64,84
bateria_pruebas\run_200p_ADRB_iter13.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10361,5;0,014777;300,0
bateria_pruebas\run_200p_ADRB_iter14.dat;1200;75;Limite_300s;aborted/maxTimeLimit;11882,00217462216;0,016336;300,06
bateria_pruebas\run_200p_ADRB_iter15.dat;1200;75;Limite_300s;ok/optimal;9946,5;0,0;47,86
bateria_pruebas\run_200p_ADRB_iter16.dat;1200;75;Limite_300s;aborted/maxTimeLimit;6412,5;0,026411;300,04
bateria_pruebas\run_200p_ADRB_iter17.dat;1200;75;Limite_300s;ok/optimal;7610,0;0,0;60,83
bateria_pruebas\run_200p_ADRB_iter18.dat;1200;75;Limite_300s;ok/optimal;8573,5;0,0;11,66
bateria_pruebas\run_200p_ADRB_iter19.dat;1200;75;Limite_300s;aborted/maxTimeLimit;15073,00217462216;0,246917;299,99
bateria_pruebas\run_200p_ADRB_iter20.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10277,00217462216;0,022673;300,04
bateria_pruebas\run_200p_ADRB_iter21.dat;1200;75;Limite_300s;aborted/maxTimeLimit;9867,5;0,288122;300,02
bateria_pruebas\run_200p_ADRB_iter22.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10774,5;0,015488;300,03
bateria_pruebas\run_200p_ADRB_iter23.dat;1200;75;Limite_300s;ok/optimal;10604,5;0,0;33,02
bateria_pruebas\run_200p_ADRB_iter24.dat;1200;75;Limite_300s;ok/optimal;8790,0;0,0;5,81
bateria_pruebas\run_200p_ADRB_iter25.dat;1200;75;Limite_300s;ok/optimal;13531,5;0,0;52,64
bateria_pruebas\run_200p_ADRB_iter26.dat;1200;75;Limite_300s;aborted/maxTimeLimit;7516,5;0,011025;300,07
bateria_pruebas\run_200p_ADRB_iter27.dat;1200;75;Limite_300s;ok/optimal;10188,0;0,0;46,25
bateria_pruebas\run_200p_ADRB_iter28.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10737,0;0,010166;299,98
bateria_pruebas\run_200p_ADRB_iter29.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10961,5;0,01062;300,09
bateria_pruebas\run_200p_ADRB_iter30.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10717,5;0,021757;300,03
bateria_pruebas\run_200p_ADRE_iter01.dat;1200;75;Limite_300s;ok/optimal;18109,021746221595;0,0;17,23
bateria_pruebas\run_200p_ADRE_iter02.dat;1200;75;Limite_300s;ok/optimal;19762,021746221595;0,0;28,55
bateria_pruebas\run_200p_ADRE_iter03.dat;1200;75;Limite_300s;ok/optimal;18270,00434924432;0,0;6,81
bateria_pruebas\run_200p_ADRE_iter04.dat;1200;75;Limite_300s;ok/optimal;21119,519571599434;0,0;1,47
bateria_pruebas\run_200p_ADRE_iter05.dat;1200;75;Limite_300s;ok/optimal;21212,53044471023;0,0;16,03
bateria_pruebas\run_200p_ADRE_iter06.dat;1200;75;Limite_300s;ok/optimal;20619,53044471023;0,0;5,05
bateria_pruebas\run_200p_ADRE_iter07.dat;1200;75;Limite_300s;ok/optimal;24230,519571599434;0,0;17,92
bateria_pruebas\run_200p_ADRE_iter08.dat;1200;75;Limite_300s;ok/optimal;15203,015222355116;0,0;13,76
bateria_pruebas\run_200p_ADRE_iter09.dat;1200;75;Limite_300s;ok/optimal;18853,515222355116;0,0;22,16
bateria_pruebas\run_200p_ADRE_iter10.dat;1200;75;Limite_300s;ok/optimal;21610,017396977273;0,0;0,72
bateria_pruebas\run_200p_ADRE_iter11.dat;1200;75;Limite_300s;ok/optimal;18044,526095465913;0,0;13,37
bateria_pruebas\run_200p_ADRE_iter12.dat;1200;75;Limite_300s;ok/optimal;23421,519571599434;0,0;21,56
bateria_pruebas\run_200p_ADRE_iter13.dat;1200;75;Limite_300s;ok/optimal;20002,010873110798;0,0;16,94
bateria_pruebas\run_200p_ADRE_iter14.dat;1200;75;Limite_300s;ok/optimal;22473,021746221595;0,0;1,6
