Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_200p_ADR_iter01.dat;1200;75;Limite_20s;ok/optimal;15160,521746221593;0,0;5,21
bateria_pruebas\run_200p_ADR_iter01.dat;1200;75;Limite_60s;ok/optimal;15160,521746221593;0,0;5,15
bateria_pruebas\run_200p_ADR_iter01.dat;1200;75;Limite_300s;ok/optimal;15160,521746221593;0,0;5,29
bateria_pruebas\run_200p_ADR_iter02.dat;1200;75;Limite_20s;ok/optimal;16369,026095465913;0,0;3,06
bateria_pruebas\run_200p_ADR_iter02.dat;1200;75;Limite_60s;ok/optimal;16369,026095465913;0,0;3,07
bateria_pruebas\run_200p_ADR_iter02.dat;1200;75;Limite_300s;ok/optimal;16369,026095465913;0,0;3,04
bateria_pruebas\run_200p_ADR_iter03.dat;1200;75;Limite_20s;ok/optimal;14951,517396977275;0,0;1,41
bateria_pruebas\run_200p_ADR_iter03.dat;1200;75;Limite_60s;ok/optimal;14951,517396977275;0,0;1,38
bateria_pruebas\run_200p_ADR_iter03.dat;1200;75;Limite_300s;ok/optimal;14951,517396977275;0,0;1,4
bateria_pruebas\run_200p_ADR_iter04.dat;1200;75;Limite_20s;aborted/maxTimeLimit;16833,50434924432;0,07709;20,02
bateria_pruebas\run_200p_ADR_iter04.dat;1200;75;Limite_60s;ok/optimal;16833,50434924432;0,0;30,09
bateria_pruebas\run_200p_ADR_iter04.dat;1200;75;Limite_300s;ok/optimal;16833,50434924432;0,0;51,65
bateria_pruebas\run_200p_ADR_iter05.dat;1200;75;Limite_20s;aborted/maxTimeLimit;17970,5;0,039292;20,13
bateria_pruebas\run_200p_ADR_iter05.dat;1200;75;Limite_60s;aborted/maxTimeLimit;17970,5;0,013615;60,15
bateria_pruebas\run_200p_ADR_iter05.dat;1200;75;Limite_300s;aborted/maxTimeLimit;17970,5;0,013589;300,23
bateria_pruebas\run_200p_ADR_iter06.dat;1200;75;Limite_20s;aborted/maxTimeLimit;16499,515222355116;0,034183;20,14
bateria_pruebas\run_200p_ADR_iter06.dat;1200;75;Limite_60s;ok/optimal;16499,515222355116;0,0;39,01
bateria_pruebas\run_200p_ADR_iter06.dat;1200;75;Limite_300s;ok/optimal;16499,515222355116;0,0;39,32
bateria_pruebas\run_200p_ADR_iter07.dat;1200;75;Limite_20s;aborted/maxTimeLimit;15926,543492443188;0,031217;20,14
bateria_pruebas\run_200p_ADR_iter07.dat;1200;75;Limite_60s;ok/optimal;15926,543492443188;0,0;21,31
bateria_pruebas\run_200p_ADR_iter07.dat;1200;75;Limite_300s;ok/optimal;15926,543492443188;0,0;21,3
bateria_pruebas\run_200p_ADR_iter08.dat;1200;75;Limite_20s;aborted/maxTimeLimit;13148,03479395455;0,013837;20,1
bateria_pruebas\run_200p_ADR_iter08.dat;1200;75;Limite_60s;ok/optimal;13148,03479395455;0,0;59,79
bateria_pruebas\run_200p_ADR_iter08.dat;1200;75;Limite_300s;ok/optimal;13148,03479395455;0,0;59,86
bateria_pruebas\run_200p_ADR_iter09.dat;1200;75;Limite_20s;aborted/maxTimeLimit;10572,517396977275;0,084618;20,11
bateria_pruebas\run_200p_ADR_iter09.dat;1200;75;Limite_60s;ok/optimal;10572,517396977275;0,0;51,42
bateria_pruebas\run_200p_ADR_iter09.dat;1200;75;Limite_300s;ok/optimal;10572,517396977275;0,0;47,41
bateria_pruebas\run_200p_ADR_iter10.dat;1200;75;Limite_20s;aborted/maxTimeLimit;14700,04131782103;0,017246;20,0
bateria_pruebas\run_200p_ADR_iter10.dat;1200;75;Limite_60s;ok/optimal;14700,04131782103;0,0;21,69
bateria_pruebas\run_200p_ADR_iter10.dat;1200;75;Limite_300s;ok/optimal;14700,04131782103;0,0;21,69
bateria_pruebas\run_200p_ADR_iter11.dat;1200;75;Limite_20s;ok/optimal;17230,026095465913;0,0;2,27
bateria_pruebas\run_200p_ADR_iter11.dat;1200;75;Limite_60s;ok/optimal;17230,026095465913;0,0;2,29
bateria_pruebas\run_200p_ADR_iter11.dat;1200;75;Limite_300s;ok/optimal;17230,026095465913;0,0;2,28
bateria_pruebas\run_200p_ADR_iter12.dat;1200;75;Limite_20s;ok/optimal;18967,021746221595;0,0;1,64
bateria_pruebas\run_200p_ADR_iter12.dat;1200;75;Limite_60s;ok/optimal;18967,021746221595;0,0;1,65
bateria_pruebas\run_200p_ADR_iter12.dat;1200;75;Limite_300s;ok/optimal;18967,021746221595;0,0;1,64
bateria_pruebas\run_200p_ADR_iter13.dat;1200;75;Limite_20s;aborted/maxTimeLimit;15889,03696857671;0,015814;20,01
bateria_pruebas\run_200p_ADR_iter13.dat;1200;75;Limite_60s;ok/optimal;15889,03696857671;0,0;29,88
bateria_pruebas\run_200p_ADR_iter13.dat;1200;75;Limite_300s;ok/optimal;15889,03696857671;0,0;29,94
bateria_pruebas\run_200p_ADR_iter14.dat;1200;75;Limite_20s;aborted/maxTimeLimit;13228,004349244318;0,044213;20,03
bateria_pruebas\run_200p_ADR_iter14.dat;1200;75;Limite_60s;ok/optimal;13228,004349244318;0,0;26,98
bateria_pruebas\run_200p_ADR_iter14.dat;1200;75;Limite_300s;ok/optimal;13228,004349244318;0,0;26,91
bateria_pruebas\run_200p_ADR_iter15.dat;1200;75;Limite_20s;ok/optimal;14858,523920843754;0,0;5,8
bateria_pruebas\run_200p_ADR_iter15.dat;1200;75;Limite_60s;ok/optimal;14858,523920843754;0,0;5,78
