Escenario;Config;Coste_Medio;Tiempo_Medio;Gap_Medio;N_Optimos;N_GapAlto;Total_Iteraciones;%_Exito
Archivo;Config;0.0;0.0;0.0;1;0;1;100.0
run_200p_ADR;Limite_20s;15205.59;14.87;0.03;11;0;30;36.67
run_200p_ADR;Limite_300s;15204.15;33.28;0.0;29;0;30;96.67
run_200p_ADR;Limite_60s;15204.15;24.68;0.0;29;0;30;96.67
run_200p_normal;Limite_20s;9263.42;18.2;0.25;5;0;30;16.67
run_200p_normal;Limite_300s;8829.4;196.24;0.06;12;0;30;40.0
run_200p_normal;Limite_60s;9021.17;49.77;0.15;9;0;30;30.0
run_200p_pesado;Limite_20s;27356.2;20.17;0.16;0;0;30;0.0
run_200p_pesado;Limite_300s;26359.77;280.59;0.05;5;0;30;16.67
run_200p_pesado;Limite_60s;26603.47;60.19;0.13;0;0;30;0.0
