Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_100p_05c_iter01.dat;600;25;Limite_20s;ok/optimal;11083,0;0,0;0,08
bateria_pruebas\run_100p_05c_iter01.dat;600;25;Limite_60s;ok/optimal;11083,0;0,0;0,07
bateria_pruebas\run_100p_05c_iter01.dat;600;25;Limite_300s;ok/optimal;11083,0;0,0;0,07
bateria_pruebas\run_100p_05c_iter02.dat;600;25;Limite_20s;ok/optimal;8048,5;0,0;0,11
bateria_pruebas\run_100p_05c_iter02.dat;600;25;Limite_60s;ok/optimal;8048,5;0,0;0,12
bateria_pruebas\run_100p_05c_iter02.dat;600;25;Limite_300s;ok/optimal;8048,5;0,0;0,11
bateria_pruebas\run_100p_05c_iter03.dat;600;25;Limite_20s;ok/optimal;10979,0;0,0;0,08
bateria_pruebas\run_100p_05c_iter03.dat;600;25;Limite_60s;ok/optimal;10979,0;0,0;0,08
bateria_pruebas\run_100p_05c_iter03.dat;600;25;Limite_300s;ok/optimal;10979,0;0,0;0,08
bateria_pruebas\run_100p_05c_iter04.dat;600;25;Limite_20s;ok/optimal;11314,0;0,0;0,06
bateria_pruebas\run_100p_05c_iter04.dat;600;25;Limite_60s;ok/optimal;11314,0;0,0;0,07
bateria_pruebas\run_100p_05c_iter04.dat;600;25;Limite_300s;ok/optimal;11314,0;0,0;0,06
bateria_pruebas\run_100p_05c_iter05.dat;600;25;Limite_20s;ok/optimal;9213,5;0,0;0,6
bateria_pruebas\run_100p_05c_iter05.dat;600;25;Limite_60s;ok/optimal;9213,5;0,0;0,6
bateria_pruebas\run_100p_05c_iter05.dat;600;25;Limite_300s;ok/optimal;9213,5;0,0;0,6
bateria_pruebas\run_100p_05c_iter06.dat;600;25;Limite_20s;ok/optimal;4854,5;0,0;0,11
bateria_pruebas\run_100p_05c_iter06.dat;600;25;Limite_60s;ok/optimal;4854,5;0,0;0,12
bateria_pruebas\run_100p_05c_iter06.dat;600;25;Limite_300s;ok/optimal;4854,5;0,0;0,12
bateria_pruebas\run_100p_05c_iter07.dat;600;25;Limite_20s;ok/optimal;8355,0;0,0;0,09
bateria_pruebas\run_100p_05c_iter07.dat;600;25;Limite_60s;ok/optimal;8355,0;0,0;0,09
bateria_pruebas\run_100p_05c_iter07.dat;600;25;Limite_300s;ok/optimal;8355,0;0,0;0,09
bateria_pruebas\run_100p_05c_iter08.dat;600;25;Limite_20s;ok/optimal;10944,5;0,0;0,1
bateria_pruebas\run_100p_05c_iter08.dat;600;25;Limite_60s;ok/optimal;10944,5;0,0;0,09
bateria_pruebas\run_100p_05c_iter08.dat;600;25;Limite_300s;ok/optimal;10944,5;0,0;0,1
bateria_pruebas\run_100p_05c_iter09.dat;600;25;Limite_20s;ok/optimal;6116,0;0,0;0,21
bateria_pruebas\run_100p_05c_iter09.dat;600;25;Limite_60s;ok/optimal;6116,0;0,0;0,21
bateria_pruebas\run_100p_05c_iter09.dat;600;25;Limite_300s;ok/optimal;6116,0;0,0;0,22
bateria_pruebas\run_100p_05c_iter10.dat;600;25;Limite_20s;ok/optimal;8266,0;0,0;0,27
bateria_pruebas\run_100p_05c_iter10.dat;600;25;Limite_60s;ok/optimal;8266,0;0,0;0,26
bateria_pruebas\run_100p_05c_iter10.dat;600;25;Limite_300s;ok/optimal;8266,0;0,0;0,27
bateria_pruebas\run_100p_05c_iter11.dat;600;25;Limite_20s;ok/optimal;4800,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter11.dat;600;25;Limite_60s;ok/optimal;4800,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter11.dat;600;25;Limite_300s;ok/optimal;4800,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter12.dat;600;25;Limite_20s;ok/optimal;12728,0;0,0;0,07
bateria_pruebas\run_100p_05c_iter12.dat;600;25;Limite_60s;ok/optimal;12728,0;0,0;0,07
bateria_pruebas\run_100p_05c_iter12.dat;600;25;Limite_300s;ok/optimal;12728,0;0,0;0,07
bateria_pruebas\run_100p_05c_iter13.dat;600;25;Limite_20s;aborted/maxTimeLimit;8380,00217462216;0,01763;20,08
bateria_pruebas\run_100p_05c_iter13.dat;600;25;Limite_60s;aborted/maxTimeLimit;8380,00217462216;0,01763;60,17
bateria_pruebas\run_100p_05c_iter13.dat;600;25;Limite_300s;aborted/maxTimeLimit;8380,00217462216;0,01763;300,23
bateria_pruebas\run_100p_05c_iter14.dat;600;25;Limite_20s;ok/optimal;9976,0;0,0;0,31
bateria_pruebas\run_100p_05c_iter14.dat;600;25;Limite_60s;ok/optimal;9976,0;0,0;0,31
bateria_pruebas\run_100p_05c_iter14.dat;600;25;Limite_300s;ok/optimal;9976,0;0,0;0,3
bateria_pruebas\run_100p_05c_iter15.dat;600;25;Limite_20s;ok/optimal;9240,5;0,0;0,08
bateria_pruebas\run_100p_05c_iter15.dat;600;25;Limite_60s;ok/optimal;9240,5;0,0;0,09
bateria_pruebas\run_100p_05c_iter15.dat;600;25;Limite_300s;ok/optimal;9240,5;0,0;0,07
bateria_pruebas\run_100p_05c_iter16.dat;600;25;Limite_20s;ok/optimal;5204,5;0,0;0,09
bateria_pruebas\run_100p_05c_iter16.dat;600;25;Limite_60s;ok/optimal;5204,5;0,0;0,09
bateria_pruebas\run_100p_05c_iter16.dat;600;25;Limite_300s;ok/optimal;5204,5;0,0;0,09
bateria_pruebas\run_100p_05c_iter17.dat;600;25;Limite_20s;ok/optimal;9889,5;0,0;0,22
bateria_pruebas\run_100p_05c_iter17.dat;600;25;Limite_60s;ok/optimal;9889,5;0,0;0,21
bateria_pruebas\run_100p_05c_iter17.dat;600;25;Limite_300s;ok/optimal;9889,5;0,0;0,2
bateria_pruebas\run_100p_05c_iter18.dat;600;25;Limite_20s;ok/optimal;8682,0;0,0;0,15
bateria_pruebas\run_100p_05c_iter18.dat;600;25;Limite_60s;ok/optimal;8682,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter18.dat;600;25;Limite_300s;ok/optimal;8682,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter19.dat;600;25;Limite_20s;ok/optimal;7666,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter19.dat;600;25;Limite_60s;ok/optimal;7666,0;0,0;0,15
bateria_pruebas\run_100p_05c_iter19.dat;600;25;Limite_300s;ok/optimal;7666,0;0,0;0,15
bateria_pruebas\run_100p_05c_iter20.dat;600;25;Limite_20s;ok/optimal;8081,002174622159;0,0;0,18
bateria_pruebas\run_100p_05c_iter20.dat;600;25;Limite_60s;ok/optimal;8081,002174622159;0,0;0,19
bateria_pruebas\run_100p_05c_iter20.dat;600;25;Limite_300s;ok/optimal;8081,002174622159;0,0;0,19
bateria_pruebas\run_100p_05c_iter21.dat;600;25;Limite_20s;ok/optimal;7342,0;0,0;0,1
bateria_pruebas\run_100p_05c_iter21.dat;600;25;Limite_60s;ok/optimal;7342,0;0,0;0,1
bateria_pruebas\run_100p_05c_iter21.dat;600;25;Limite_300s;ok/optimal;7342,0;0,0;0,1
