;;Objetivo;Objetivo;Objetivo;Objetivo;Objetivo;Gap;Gap;Gap;Gap;Gap;Tiempo;Tiempo;Tiempo;Tiempo;Tiempo
;;count;mean;std;min;max;count;mean;std;min;max;count;mean;std;min;max
Escenario;Config;;;;;;;;;;;;;;;
Archivo;Config;1;0.0;;0.0;0.0;1;0.0;;0.0;0.0;1;0.0;;0.0;0.0
run_100p_05c;Limite_20s;30;8651.82;1972.69;4800.0;12728.0;30;0.0;0.0;0.0;0.02;30;0.81;3.64;0.06;20.08
run_100p_05c;Limite_300s;30;8651.82;1972.69;4800.0;12728.0;30;0.0;0.0;0.0;0.02;30;10.15;54.79;0.06;300.23
run_100p_05c;Limite_60s;30;8651.82;1972.69;4800.0;12728.0;30;0.0;0.0;0.0;0.02;30;2.15;10.96;0.07;60.17
run_100p_10c;Limite_20s;30;1350.95;1257.04;-507.99;4312.0;30;0.0;0.02;0.0;0.09;30;1.75;4.98;0.15;20.03
run_100p_10c;Limite_300s;30;1350.95;1257.04;-507.99;4312.0;30;0.0;0.02;0.0;0.09;30;11.47;54.81;0.16;300.14
run_100p_10c;Limite_60s;30;1350.95;1257.04;-507.99;4312.0;30;0.0;0.02;0.0;0.09;30;3.47;12.1;0.15;60.09
run_40p_05c;Limite_20s;30;1462.67;1605.2;-791.0;6894.0;30;0.01;0.05;0.0;0.28;30;1.28;3.65;0.13;20.01
run_40p_05c;Limite_300s;30;1462.2;1605.63;-791.0;6894.0;30;0.0;0.0;0.0;0.0;30;4.21;19.6;0.13;107.9
run_40p_05c;Limite_60s;30;1462.67;1605.2;-791.0;6894.0;30;0.01;0.05;0.0;0.28;30;2.61;10.88;0.14;60.04
run_60p_05c;Limite_20s;30;2184.63;1247.07;221.0;4664.5;30;0.0;0.0;0.0;0.02;30;1.07;3.94;0.05;20.06
run_60p_05c;Limite_300s;30;2184.58;1247.0;221.0;4664.5;30;0.0;0.0;0.0;0.02;30;10.41;54.8;0.05;300.41
run_60p_05c;Limite_60s;30;2184.58;1247.0;221.0;4664.5;30;0.0;0.0;0.0;0.02;30;2.39;11.02;0.05;60.16
run_80p_05c;Limite_20s;30;5715.07;1653.55;2013.5;9180.5;30;0.0;0.0;0.0;0.02;30;0.87;3.63;0.06;20.07
run_80p_05c;Limite_300s;30;5715.07;1653.55;2013.5;9180.5;30;0.0;0.0;0.0;0.02;30;10.21;54.81;0.06;300.41
run_80p_05c;Limite_60s;30;5715.07;1653.55;2013.5;9180.5;30;0.0;0.0;0.0;0.02;30;2.2;10.94;0.06;60.14
